id,year,party,nfem,age_cat,widename,ratindex
M43,2016,five,2,prime,M43@five_1,530
M43,2017,five,2,prime,M43@five_1,651
M43,2018,five,2,prime,M43@five_1,690
M43,2019,five,2,prime,M43@five_1,690
M43,2020,five,0,nonprime,M43@five_1,692
M05,2014,nine,2,prime,M05@nine_1,101
M05,2015,nine,3,prime,M05@nine_1,373
M05,2016,nine,3,prime,M05@nine_1,536
M05,2017,nine,3,prime,M05@nine_1,659
M05,2018,nine,1,prime,M05@nine_1,677
M05,2019,nine,0,prime,M05@nine_1,684
M05,2020,nine,0,nonprime,M05@nine_1,689
M59,2014,six,1,prime,M59@six_1,103
M59,2015,six,0,prime,M59@six_1,375
M59,2016,six,1,prime,M59@six_1,535
M59,2017,six,0,nonprime,M59@six_1,646
M59,2018,six,0,nonprime,M59@six_1,676
M59,2019,six,0,nonprime,M59@six_1,683
M16,2018,five,0,nonprime,M16@five_1,690
M16,2019,five,2,prime,M16@five_1,690
M42,2014,nine,2,prime,M42@nine_1,101
M42,2015,nine,2,prime,M42@nine_1,373
M42,2016,nine,2,prime,M42@nine_1,536
M42,2017,nine,0,prime,M42@nine_1,659
M42,2018,nine,1,prime,M42@nine_1,677
M24,2014,six,0,prime,M24@six_1,103
M24,2015,six,0,prime,M24@six_1,375
M24,2016,six,0,prime,M24@six_1,535
M22,2021,sixi,0,nonprime,M22@sixi_2,695
M22,2022,sixi,1,prime,M22@sixi_2,704
M19,2017,six,1,nonprime,M19@six_1,646
M32,2017,six,0,nonprime,M32@six_1,646
M32,2018,six,1,nonprime,M32@six_1,676
M32,2019,six,0,prime,M32@six_1,683
M32,2020,sixw,0,prime,M32@sixw_2,697
M32,2021,sixw,1,prime,M32@sixw_2,700
M32,2022,sixw,0,prime,M32@sixw_2,714
M52,2017,six,0,prime,M52@six_1,646
M30,2019,nine,1,prime,M30@nine_1,684
M33,2022,sixw,1,prime,M33@sixw_1,714
M04,2016,six,0,nonprime,M04@six_1,535
M04,2017,six,0,prime,M04@six_1,646
M04,2018,six,2,prime,M04@six_1,676
M04,2019,six,3,prime,M04@six_1,683
M04,2020,sixi,2,prime,M04@sixi_2,694
M04,2021,sixi,3,prime,M04@sixi_2,695
M04,2022,sixi,3,prime,M04@sixi_2,704
M02,2018,nine,0,nonprime,M02@nine_1,677
M02,2019,nine,2,prime,M02@nine_1,684
M02,2020,nine,2,prime,M02@nine_1,689
M57,2019,nine,1,prime,M57@nine_1,684
M57,2020,nine,1,prime,M57@nine_1,689
M61,2020,sixw,1,nonprime,M61@sixw_2,697
M61,2021,sixw,3,prime,M61@sixw_2,700
M61,2022,sixw,0,prime,M61@sixw_2,714
M49,2014,nine,3,prime,M49@nine_1,101
M49,2015,nine,3,prime,M49@nine_1,373
M49,2016,nine,3,prime,M49@nine_1,536
M49,2017,nine,3,prime,M49@nine_1,659
M49,2018,nine,2,prime,M49@nine_1,677
M49,2019,nine,1,prime,M49@nine_1,684
M49,2020,nine,0,nonprime,M49@nine_1,689
M39,2014,nine,0,nonprime,M39@nine_1,101
M39,2015,nine,0,nonprime,M39@nine_1,373
M39,2016,nine,0,nonprime,M39@nine_1,536
M54,2016,five,3,prime,M54@five_1,530
M38,2016,five,3,prime,M38@five_1,530
M38,2017,five,3,prime,M38@five_1,651
M38,2018,five,2,prime,M38@five_1,690
M38,2019,five,2,prime,M38@five_1,690
M38,2020,five,1,prime,M38@five_1,692
M38,2021,five,2,prime,M38@five_1,698
M38,2022,five,0,prime,M38@five_1,712
M41,2018,nine,0,nonprime,M41@nine_1,677
M13,2014,nine,0,nonprime,M13@nine_1,101
M15,2015,six,0,nonprime,M15@six_1,375
M15,2016,six,0,prime,M15@six_1,535
M15,2017,six,1,prime,M15@six_1,646
M15,2018,six,2,prime,M15@six_1,676
M15,2019,six,1,prime,M15@six_1,683
M15,2020,sixi,0,prime,M15@sixi_2,694
M15,2021,sixi,0,prime,M15@sixi_2,695
M15,2022,sixi,1,prime,M15@sixi_2,704
M18,2019,nine,0,nonprime,M18@nine_1,684
M20,2014,six,2,prime,M20@six_1,103
M20,2015,six,2,prime,M20@six_1,375
M20,2016,six,0,nonprime,M20@six_1,535
M20,2017,six,0,nonprime,M20@six_1,646
M20,2018,six,0,nonprime,M20@six_1,676
M20,2019,six,0,nonprime,M20@six_1,683
M20,2020,sixi,0,nonprime,M20@sixi_2,694
M20,2021,sixi,0,nonprime,M20@sixi_2,695
M01,2019,nine,0,prime,M01@nine_1,684
M01,2020,nine,0,prime,M01@nine_1,689
M46,2019,nine,1,prime,M46@nine_1,684
M53,2019,nine,2,prime,M53@nine_1,684
M53,2020,nine,2,prime,M53@nine_1,689
M21,2015,six,0,nonprime,M21@six_1,375
M21,2016,six,2,prime,M21@six_1,535
M21,2017,six,3,prime,M21@six_1,646
M21,2018,six,4,prime,M21@six_1,676
M21,2019,six,4,prime,M21@six_1,683
M21,2020,sixw,5,prime,M21@sixw_2,697
M21,2021,sixw,5,prime,M21@sixw_2,700
M21,2022,sixw,4,prime,M21@sixw_2,714
M27,2016,five,0,prime,M27@five_1,530
M27,2017,five,2,prime,M27@five_1,651
M27,2018,five,2,prime,M27@five_1,690
M27,2019,five,1,prime,M27@five_1,690
M27,2020,five,0,prime,M27@five_1,692
M10,2017,five,0,prime,M10@five_1,651
M10,2018,five,2,prime,M10@five_1,690
M10,2019,five,3,prime,M10@five_1,690
M35,2014,six,2,prime,M35@six_1,103
M35,2015,six,3,prime,M35@six_1,375
M35,2016,six,0,prime,M35@six_1,535
M35,2017,six,0,prime,M35@six_1,646
M62,2014,nine,3,prime,M62@nine_1,101
M62,2015,nine,4,prime,M62@nine_1,373
M62,2016,nine,5,prime,M62@nine_1,536
M62,2017,nine,6,prime,M62@nine_1,659
M62,2018,nine,5,prime,M62@nine_1,677
M62,2019,nine,1,prime,M62@nine_1,684
M62,2020,nine,0,prime,M62@nine_1,689
M06,2014,six,0,nonprime,M06@six_1,103
M06,2015,six,0,nonprime,M06@six_1,375
M06,2016,six,0,nonprime,M06@six_1,535
M09,2016,five,0,prime,M09@five_1,530
M09,2017,five,0,nonprime,M09@five_1,651
M09,2018,five,0,nonprime,M09@five_1,690
M51,2014,six,2,prime,M51@six_1,103
M51,2015,six,0,prime,M51@six_1,375
M51,2016,six,0,prime,M51@six_1,535
M51,2017,six,0,prime,M51@six_1,646
M51,2018,six,0,prime,M51@six_1,676
M51,2019,six,0,prime,M51@six_1,683
M51,2020,sixw,0,prime,M51@sixw_2,697
M51,2021,sixw,0,prime,M51@sixw_2,700
M44,2016,nine,0,nonprime,M44@nine_1,536
M44,2017,nine,0,nonprime,M44@nine_1,659
M44,2018,nine,0,prime,M44@nine_1,677
M17,2014,six,0,nonprime,M17@six_1,103
M17,2015,six,1,prime,M17@six_1,375
M17,2016,six,2,prime,M17@six_1,535
M17,2017,six,3,prime,M17@six_1,646
M11,2014,nine,3,prime,M11@nine_1,101
M11,2015,nine,2,prime,M11@nine_1,373
M11,2016,nine,0,prime,M11@nine_1,536
M11,2017,nine,0,nonprime,M11@nine_1,659
M11,2018,nine,0,nonprime,M11@nine_1,677
M55,2017,six,1,prime,M55@six_2,646
M55,2018,five,2,prime,M55@five_3,690
M55,2019,five,3,prime,M55@five_3,690
M55,2020,five,5,prime,M55@five_3,692
M55,2021,five,4,prime,M55@five_3,698
M55,2022,five,4,prime,M55@five_3,712
M08,2016,five,0,nonprime,M08@five_1,530
M08,2017,five,1,prime,M08@five_1,651
M08,2018,five,3,prime,M08@five_1,690
M08,2019,five,3,prime,M08@five_1,690
M08,2020,five,4,prime,M08@five_1,692
M08,2021,five,4,prime,M08@five_1,698
M08,2022,five,5,prime,M08@five_1,712
M40,2019,nine,1,prime,M40@nine_1,684
M40,2020,nine,1,prime,M40@nine_1,689
M56,2014,six,2,prime,M56@six_1,103
M56,2015,six,1,prime,M56@six_1,375
M60,2022,five,2,nonprime,M60@five_1,712
M12,2015,nine,0,nonprime,M12@nine_1,373
M12,2016,nine,0,prime,M12@nine_1,536
M12,2017,nine,0,prime,M12@nine_1,659
M12,2018,nine,2,prime,M12@nine_1,677
M28,2014,six,1,nonprime,M28@six_1,103
M28,2015,six,2,prime,M28@six_1,375
M28,2016,six,3,prime,M28@six_1,535
M28,2017,six,2,prime,M28@six_1,646
M28,2018,six,3,prime,M28@six_1,676
M28,2019,six,3,prime,M28@six_1,683
M28,2020,sixw,3,prime,M28@sixw_2,697
M28,2021,sixw,3,prime,M28@sixw_2,700
M28,2022,sixw,2,prime,M28@sixw_2,714
M31,2014,nine,2,prime,M31@nine_1,101
M31,2015,nine,2,prime,M31@nine_1,373
M31,2016,nine,3,prime,M31@nine_1,536
M31,2017,nine,3,prime,M31@nine_1,659
M31,2018,nine,2,prime,M31@nine_1,677
M31,2019,nine,1,prime,M31@nine_1,684
M31,2020,nine,1,prime,M31@nine_1,689
M37,2019,nine,1,prime,M37@nine_1,684
M37,2020,nine,1,prime,M37@nine_1,689
